* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* When this file is read, SBU writes summary information to the log file.
* 
1, none, adastraextra:adrastea_plains, MONSTER, quark:stoneling, 20, 1, 1
135, none, terralith:alpine_highlands, MONSTER, quark:stoneling, 20, 1, 1
136, none, terralith:alpine_highlands, MONSTER, quark:toretoise, 20, 1, 4
137, none, terralith:alpine_highlands, MONSTER, vampirism:advanced_vampire, 3, 1, 3
138, none, terralith:alpine_highlands, MONSTER, vampirism:vampire, 3, 1, 1
139, none, terralith:alpine_highlands, CREATURE, minecraft:sheep, 12, 3, 5
140, none, terralith:alpine_highlands, CREATURE, minecraft:pig, 10, 3, 5
141, none, terralith:alpine_highlands, CREATURE, minecraft:chicken, 10, 3, 5
142, none, terralith:alpine_highlands, CREATURE, minecraft:cow, 10, 2, 5
143, none, terralith:alpine_highlands, CREATURE, minecraft:horse, 10, 1, 3
144, none, terralith:alpine_highlands, CREATURE, minecraft:donkey, 10, 1, 3
145, none, terralith:alpine_highlands, CREATURE, minecraft:wolf, 10, 4, 4
146, none, terralith:alpine_highlands, CREATURE, ars_nouveau:drygmy, 10, 1, 2
147, none, terralith:alpine_highlands, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
148, none, terralith:alpine_highlands, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
149, none, terralith:alpine_highlands, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
150, none, terralith:alpine_highlands, AMBIENT, minecraft:bat, 10, 8, 8
151, none, terralith:alpine_highlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
152, none, adastraextra:amalthea_plains, MONSTER, quark:stoneling, 20, 1, 1
153, none, adastraextra:amalthea_plains, MONSTER, quark:toretoise, 20, 1, 4
154, none, biomeswevegone:amaranth_grassland, MONSTER, minecraft:spider, 80, 2, 4
155, none, biomeswevegone:amaranth_grassland, MONSTER, minecraft:zombie, 80, 2, 4
156, none, biomeswevegone:amaranth_grassland, MONSTER, minecraft:zombie_villager, 10, 1, 1
157, none, biomeswevegone:amaranth_grassland, MONSTER, minecraft:skeleton, 80, 2, 4
158, none, biomeswevegone:amaranth_grassland, MONSTER, minecraft:creeper, 80, 1, 4
159, none, biomeswevegone:amaranth_grassland, MONSTER, minecraft:slime, 80, 2, 6
160, none, biomeswevegone:amaranth_grassland, MONSTER, minecraft:enderman, 5, 1, 4
161, none, biomeswevegone:amaranth_grassland, MONSTER, minecraft:witch, 5, 1, 1
162, none, biomeswevegone:amaranth_grassland, MONSTER, quark:stoneling, 20, 1, 1
163, none, biomeswevegone:amaranth_grassland, MONSTER, quark:toretoise, 20, 1, 4
164, none, biomeswevegone:amaranth_grassland, MONSTER, vampirism:advanced_vampire, 3, 1, 3
165, none, biomeswevegone:amaranth_grassland, MONSTER, vampirism:vampire, 3, 1, 1
166, none, biomeswevegone:amaranth_grassland, CREATURE, minecraft:sheep, 12, 3, 5
167, none, biomeswevegone:amaranth_grassland, CREATURE, minecraft:pig, 10, 3, 5
168, none, biomeswevegone:amaranth_grassland, CREATURE, minecraft:chicken, 10, 3, 5
169, none, biomeswevegone:amaranth_grassland, CREATURE, minecraft:cow, 10, 2, 5
170, none, biomeswevegone:amaranth_grassland, CREATURE, minecraft:horse, 10, 2, 6
171, none, biomeswevegone:amaranth_grassland, CREATURE, minecraft:donkey, 10, 1, 3
172, none, biomeswevegone:amaranth_grassland, CREATURE, ars_nouveau:drygmy, 10, 1, 2
173, none, biomeswevegone:amaranth_grassland, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
174, none, biomeswevegone:amaranth_grassland, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
175, none, biomeswevegone:amaranth_grassland, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
176, none, biomeswevegone:amaranth_grassland, AMBIENT, minecraft:bat, 10, 8, 8
177, none, biomeswevegone:amaranth_grassland, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
178, jungle, terralith:amethyst_canyon, MONSTER, minecraft:spider, 80, 2, 4
179, jungle, terralith:amethyst_canyon, MONSTER, minecraft:zombie, 80, 2, 4
180, jungle, terralith:amethyst_canyon, MONSTER, minecraft:zombie_villager, 10, 1, 1
181, jungle, terralith:amethyst_canyon, MONSTER, minecraft:skeleton, 80, 2, 4
182, jungle, terralith:amethyst_canyon, MONSTER, minecraft:creeper, 80, 1, 4
183, jungle, terralith:amethyst_canyon, MONSTER, minecraft:slime, 80, 2, 6
184, jungle, terralith:amethyst_canyon, MONSTER, minecraft:enderman, 5, 1, 4
185, jungle, terralith:amethyst_canyon, MONSTER, minecraft:witch, 5, 1, 1
186, jungle, terralith:amethyst_canyon, MONSTER, minecraft:ocelot, 10, 1, 3
187, jungle, terralith:amethyst_canyon, MONSTER, quark:stoneling, 20, 1, 1
188, jungle, terralith:amethyst_canyon, MONSTER, quark:toretoise, 20, 1, 4
189, jungle, terralith:amethyst_canyon, MONSTER, vampirism:advanced_vampire, 3, 1, 3
190, jungle, terralith:amethyst_canyon, MONSTER, vampirism:vampire, 3, 1, 1
191, jungle, terralith:amethyst_canyon, CREATURE, minecraft:sheep, 12, 3, 5
192, jungle, terralith:amethyst_canyon, CREATURE, minecraft:pig, 10, 3, 5
193, jungle, terralith:amethyst_canyon, CREATURE, minecraft:chicken, 10, 3, 5
194, jungle, terralith:amethyst_canyon, CREATURE, minecraft:cow, 10, 2, 5
195, jungle, terralith:amethyst_canyon, CREATURE, minecraft:chicken, 10, 2, 2
196, jungle, terralith:amethyst_canyon, CREATURE, minecraft:parrot, 40, 1, 2
197, jungle, terralith:amethyst_canyon, CREATURE, minecraft:panda, 10, 1, 2
198, jungle, terralith:amethyst_canyon, CREATURE, minecraft:wolf, 10, 4, 4
199, jungle, terralith:amethyst_canyon, CREATURE, ars_nouveau:drygmy, 10, 1, 2
200, jungle, terralith:amethyst_canyon, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
201, jungle, terralith:amethyst_canyon, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
202, jungle, terralith:amethyst_canyon, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
203, jungle, terralith:amethyst_canyon, AMBIENT, minecraft:bat, 10, 8, 8
204, jungle, terralith:amethyst_canyon, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
205, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:spider, 80, 2, 4
206, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:zombie, 80, 2, 4
207, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:zombie_villager, 10, 1, 1
208, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:skeleton, 80, 2, 4
209, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:creeper, 80, 1, 4
210, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:slime, 80, 2, 6
211, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:enderman, 5, 1, 4
212, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:witch, 5, 1, 1
213, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:ocelot, 10, 1, 3
214, jungle, terralith:amethyst_rainforest, MONSTER, quark:stoneling, 20, 1, 1
215, jungle, terralith:amethyst_rainforest, MONSTER, quark:toretoise, 20, 1, 4
216, jungle, terralith:amethyst_rainforest, MONSTER, vampirism:advanced_vampire, 18, 1, 2
217, jungle, terralith:amethyst_rainforest, MONSTER, vampirism:vampire, 28, 1, 2
218, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:sheep, 12, 3, 5
219, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:pig, 10, 3, 5
220, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:chicken, 10, 3, 5
221, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:cow, 10, 2, 5
222, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:chicken, 10, 2, 2
223, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:parrot, 40, 1, 2
224, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:panda, 10, 1, 2
225, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:wolf, 10, 4, 4
226, jungle, terralith:amethyst_rainforest, CREATURE, ars_nouveau:drygmy, 10, 1, 2
227, jungle, terralith:amethyst_rainforest, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
228, jungle, terralith:amethyst_rainforest, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
229, jungle, terralith:amethyst_rainforest, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
230, jungle, terralith:amethyst_rainforest, AMBIENT, minecraft:bat, 10, 8, 8
231, jungle, terralith:amethyst_rainforest, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
232, none, terralith:ancient_sands, MONSTER, minecraft:spider, 80, 2, 4
233, none, terralith:ancient_sands, MONSTER, minecraft:zombie, 19, 4, 4
234, none, terralith:ancient_sands, MONSTER, minecraft:zombie_villager, 10, 1, 1
235, none, terralith:ancient_sands, MONSTER, minecraft:skeleton, 80, 2, 4
236, none, terralith:ancient_sands, MONSTER, minecraft:creeper, 80, 1, 4
237, none, terralith:ancient_sands, MONSTER, minecraft:slime, 80, 2, 6
238, none, terralith:ancient_sands, MONSTER, minecraft:enderman, 5, 1, 4
239, none, terralith:ancient_sands, MONSTER, minecraft:witch, 5, 1, 1
240, none, terralith:ancient_sands, MONSTER, minecraft:husk, 80, 4, 4
241, none, terralith:ancient_sands, MONSTER, quark:stoneling, 20, 1, 1
242, none, terralith:ancient_sands, MONSTER, quark:toretoise, 20, 1, 4
243, none, terralith:ancient_sands, MONSTER, thermal:blitz, 25, 1, 3
244, none, terralith:ancient_sands, MONSTER, vampirism:advanced_vampire, 3, 1, 3
245, none, terralith:ancient_sands, MONSTER, vampirism:vampire, 3, 1, 1
246, none, terralith:ancient_sands, CREATURE, minecraft:rabbit, 10, 2, 3
247, none, terralith:ancient_sands, CREATURE, ars_nouveau:drygmy, 10, 1, 2
248, none, terralith:ancient_sands, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
249, none, terralith:ancient_sands, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
250, none, terralith:ancient_sands, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
251, none, terralith:ancient_sands, AMBIENT, minecraft:bat, 10, 8, 8
252, none, terralith:ancient_sands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
253, savanna, biomeswevegone:araucaria_savanna, MONSTER, minecraft:spider, 80, 2, 4
254, savanna, biomeswevegone:araucaria_savanna, MONSTER, minecraft:zombie, 80, 2, 4
255, savanna, biomeswevegone:araucaria_savanna, MONSTER, minecraft:zombie_villager, 10, 1, 1
256, savanna, biomeswevegone:araucaria_savanna, MONSTER, minecraft:skeleton, 80, 2, 4
257, savanna, biomeswevegone:araucaria_savanna, MONSTER, minecraft:creeper, 80, 1, 4
258, savanna, biomeswevegone:araucaria_savanna, MONSTER, minecraft:slime, 80, 2, 6
259, savanna, biomeswevegone:araucaria_savanna, MONSTER, minecraft:enderman, 5, 1, 4
260, savanna, biomeswevegone:araucaria_savanna, MONSTER, minecraft:witch, 5, 1, 1
261, savanna, biomeswevegone:araucaria_savanna, MONSTER, quark:stoneling, 20, 1, 1
262, savanna, biomeswevegone:araucaria_savanna, MONSTER, quark:toretoise, 20, 1, 4
263, savanna, biomeswevegone:araucaria_savanna, MONSTER, thermal:blitz, 50, 2, 4
264, savanna, biomeswevegone:araucaria_savanna, MONSTER, vampirism:advanced_vampire, 3, 1, 3
265, savanna, biomeswevegone:araucaria_savanna, MONSTER, vampirism:vampire, 3, 1, 1
266, savanna, biomeswevegone:araucaria_savanna, CREATURE, minecraft:sheep, 12, 3, 5
267, savanna, biomeswevegone:araucaria_savanna, CREATURE, minecraft:pig, 10, 3, 5
268, savanna, biomeswevegone:araucaria_savanna, CREATURE, minecraft:chicken, 10, 3, 5
269, savanna, biomeswevegone:araucaria_savanna, CREATURE, minecraft:cow, 10, 2, 5
270, savanna, biomeswevegone:araucaria_savanna, CREATURE, minecraft:horse, 10, 2, 6
271, savanna, biomeswevegone:araucaria_savanna, CREATURE, minecraft:donkey, 10, 1, 3
272, savanna, biomeswevegone:araucaria_savanna, CREATURE, minecraft:llama, 10, 3, 4
273, savanna, biomeswevegone:araucaria_savanna, CREATURE, ars_nouveau:drygmy, 10, 1, 2
274, savanna, biomeswevegone:araucaria_savanna, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
275, savanna, biomeswevegone:araucaria_savanna, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
276, savanna, biomeswevegone:araucaria_savanna, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
277, savanna, biomeswevegone:araucaria_savanna, AMBIENT, minecraft:bat, 10, 8, 8
278, savanna, biomeswevegone:araucaria_savanna, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
279, forest, ars_nouveau:archwood_forest, MONSTER, minecraft:spider, 80, 2, 4
280, forest, ars_nouveau:archwood_forest, MONSTER, minecraft:zombie, 80, 2, 4
281, forest, ars_nouveau:archwood_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
282, forest, ars_nouveau:archwood_forest, MONSTER, minecraft:skeleton, 80, 2, 4
283, forest, ars_nouveau:archwood_forest, MONSTER, minecraft:creeper, 80, 1, 4
284, forest, ars_nouveau:archwood_forest, MONSTER, minecraft:slime, 80, 2, 6
285, forest, ars_nouveau:archwood_forest, MONSTER, minecraft:enderman, 5, 1, 4
286, forest, ars_nouveau:archwood_forest, MONSTER, minecraft:witch, 5, 1, 1
287, forest, ars_nouveau:archwood_forest, MONSTER, quark:stoneling, 20, 1, 1
288, forest, ars_nouveau:archwood_forest, MONSTER, quark:toretoise, 20, 1, 4
289, forest, ars_nouveau:archwood_forest, MONSTER, vampirism:advanced_vampire, 18, 1, 2
290, forest, ars_nouveau:archwood_forest, MONSTER, vampirism:vampire, 28, 1, 2
291, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:starbuncle, 10, 3, 5
292, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:drygmy, 10, 1, 3
293, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:whirlisprig, 10, 1, 3
294, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:blazing_weald_walker, 10, 1, 1
295, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:cascading_weald_walker, 10, 1, 1
296, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:flourishing_weald_walker, 10, 1, 1
297, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:vexing_weald_walker, 10, 1, 1
298, forest, ars_nouveau:archwood_forest, CREATURE, minecraft:wolf, 10, 4, 4
299, forest, ars_nouveau:archwood_forest, CREATURE, minecraft:sheep, 12, 3, 5
300, forest, ars_nouveau:archwood_forest, CREATURE, minecraft:pig, 10, 3, 5
301, forest, ars_nouveau:archwood_forest, CREATURE, minecraft:chicken, 10, 3, 5
302, forest, ars_nouveau:archwood_forest, CREATURE, minecraft:cow, 10, 2, 5
303, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:drygmy, 10, 1, 2
304, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:gift_starby, 10, 1, 1
305, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:starbuncle, 10, 1, 2
306, forest, ars_nouveau:archwood_forest, CREATURE, ars_nouveau:whirlisprig, 10, 1, 2
307, forest, ars_nouveau:archwood_forest, AMBIENT, minecraft:bat, 10, 8, 8
